Name,samAccountName,CustName,CustsamAccountName,accountPassword,passwordNeverExpires,domain,ouPath,addToGroup,createGroup,groupOU,GroupType,addGroupToGroup,createOUName,createOUPath
app_vro_nsx,app_vro_nsx,,,Password123!,TRUE,vlab.local,OU=EHC,NSX_Ent_Admins,,,,,,
app_vro_rest,app_vro_rest,,,Password123!,TRUE,vlab.local,OU=EHC,VRO_Admins,,,,,,
app_srm_rp,app_srm_rp,,,Password123!,TRUE,vlab.local,OU=EHC,RP_Admins,,,,,,
app_srm_vcenter,app_srm_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,,,,,,
app_vum_vcenter,app_vum_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,,,,,,
adp_vrops_vcenter,adp_vrops_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RO,,,,,,
adp_vrops_vipr,adp_vrops_vipr,,,Password123!,TRUE,vlab.local,OU=EHC,ViPR_System_Monitors,,,,,,
ehc_fabric_admin,ehc_fabric_admin,,,Password123!,TRUE,vlab.local,OU=EHC,EHC_Fabric_Admins,,,,,,
ehc_iaas_admin,ehc_iaas_admin,,,Password123!,TRUE,vlab.local,OU=EHC,EHC_IaaS_Admins,,,,,,
ehc_nsx_ent_admin,ehc_nsx_ent_admin,,,Password123!,TRUE,vlab.local,OU=EHC,"NSX_Ent_Admins,VC_ReadOnly",,,,,,
ehc_storage_admin,ehc_storage_admin,,,Password123!,TRUE,vlab.local,OU=EHC,"EHC_Storage_Services,ViPR_System_Monitors",,,,,,
ehc_backup_admin,ehc_backup_admin,,,Password123!,TRUE,vlab.local,OU=EHC,EHC_Backup_Services,,,,,,
ehc_sysadmin,ehc_sysadmin,,,Password123!,TRUE,vlab.local,OU=EHC,EHC_System_Admins,,,,,,
ehc_tenant_admin,ehc_tenant_admin,,,Password123!,TRUE,vlab.local,OU=EHC,EHC_Tenant_Admins,,,,,,
ehc_vc_admin,ehc_vc_admin,,,Password123!,TRUE,vlab.local,OU=EHC,VC_Admins,,,,,,
ehc_vipr_admin,ehc_vipr_admin,,,Password123!,TRUE,vlab.local,OU=EHC,ViPR_Admins,,,,,,
ehc_vro_admin,ehc_vro_admin,,,Password123!,TRUE,vlab.local,OU=EHC,VRO_Admins,,,,,,
ehc_logi_admin,ehc_logi_admin,,,Password123!,TRUE,vlab.local,OU=EHC,Log_insight_Admins,,,,,,
ehc_vrops_admin,ehc_vrops_admin,,,Password123!,TRUE,vlab.local,OU=EHC,VROPS_Admins,,,,,,
ehc_vsrm_admin,ehc_vsrm_admin,,,Password123!,TRUE,vlab.local,OU=EHC,ViPR_SRM_Admins,,,,,,
ehc_dpa_admin,ehc_dpa_admin,,,Password123!,TRUE,vlab.local,OU=EHC,DPA_Admins,,,,,,
ehc_avamar_admin,ehc_avamar_admin,,,Password123!,TRUE,vlab.local,OU=EHC,Avamar_Admins,,,,,,
ehc_dd_admin,ehc_dd_admin,,,Password123!,TRUE,vlab.local,OU=EHC,DD_Admins,,,,,,
ehc_sql_admin,ehc_sql_admin,,,Password123!,TRUE,vlab.local,OU=EHC,SQL_Admins,,,,,,
